type,lat,lng,icon,name/text,alt_names,subheader/text,description,size,angle,spacing,curve,coords,style,overlay,infobox,text_lines
marker,25.58137607008905,93.66943359375,dwarf-outpost,Zirak-khazad,Peak of Echoes,Mountain-top hold famed for its resonant signal horns,"![Zirak-khazad](images/Dwarfhold/Zirak-khazad.jpg)

## Overview
Zirak-khazad crowns a needle peak, its terraces stepping into the clouds. Vast bronze horns line the cliffs, channeling wind into melodies that can be heard valleys away.

## History
Legend says the Echohelm clan followed a comet to the mountain's summit and swore to never let silence fall there. Their warning horns rallied allied hosts during the Red Star Crusade and still coordinate aerial patrols today.

### Culture and Craft
Residents weave music into daily labor; miners tap rhythms that guide collapsible scaffolds, and hearths hum with harmonic wards. Artisans craft hornstone—porous granite tuned to amplify sound—used to build signal towers for neighboring holds.

### Strategic Notes
- Harmonic wards can shatter enemy formations by inducing vertigo when horns peal in sequence.
- A fleet of tethered gyrobarges uses the updrafts to ferry envoys across the range.

### Current Outlook
Recent storm damage snapped two sky-bridges; repair crews race to restore them before trading season opens.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Zirak-khazad"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""High Aerie Hold""},{""label"":""Founded"",""value"":""-1890 KI""},{""label"":""Specialty"",""value"":""Resonant hornworks & skywatching""},{""label"":""Notable Clan"",""value"":""Clan Echohelm""}]}",
marker,3.34689177525274,-3.4705238467110004,dwarf-outpost,Dur-Vazhatun,,,![Dur-Vazhatun](images/Dur-Vazhatun.webp),,,,,,"{""iconScale"":0.01}",,,
marker,-30.767202747489456,-24.525899689634794,dwarf-outpost,Gûndâl Grum,Forge of Clever Hands,Engineering hold famed for gyrocopter foundries,"![Gûndâl Grum](images/Dwarfhold/G%C3%BBnd%C3%A2l%20Grum.jpg)

## Overview
Gûndâl Grum rings with the clatter of gears and the whine of rotor testing rigs. Elevated walkways crisscross vast assembly halls where engineers tinker with experimental machines under the watchful gaze of stern runelords.

## History
Once a modest toolmaker's enclave, the hold vaulted to prominence after Master Geargrin unveiled the first reliable gyrocopter clutch. Their skyfliers turned the tide at the Battle of Five Peaks by harrying enemy supply lines.

### Culture and Craft
Tinker guilds prize innovation, though every prototype must pass rigorous rune-blessing rituals before flight. Apprentices rotate through design conclaves, forge halls, and a dangerous proving canyon where machines earn their names.

### Strategic Notes
- Retractable hangar doors shield fleets of gyrocopters from sabotage.
- Automated hammer lines can be retooled as defensive crushers in case of invasion.

### Current Outlook
A coalition of young engineers petitions to test steam-powered tunneling machines, prompting elders to demand extensive safety trials before deployment.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Gûndâl Grum"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Innovator Hold""},{""label"":""Founded"",""value"":""-1104 KI""},{""label"":""Specialty"",""value"":""Gyrocopters & clockwork automata""},{""label"":""Notable Clan"",""value"":""Clan Geargrin""}]}",
marker,-47.93106634750978,-5.625,dwarf-outpost,Thrâng-khazad,Ancestral Spiral,Hold descending through a spiral of ancestor crypts,"![Thrâng-khazad](images/Dwarfhold/Thr%C3%A2ng-khazad.jpg)

## Overview
Thrâng-khazad winds downward in a grand spiral carved around a central shaft of ancestor statues. Each tier honors a different age, and the air is thick with incense and echoing hymns.

## History
Built to shelter the remains of heroes who fell in the War of Bloody Tears, the hold became a pilgrimage site for clans across the range. Its spiral fortifications absorbed and redirected countless assaults by greenskin hordes.

### Culture and Craft
Stoneward artisans specialize in memorial craftsmanship, inlaying sarcophagi with starmetal filigree. Processions carry memory lanterns along the spiral, recounting lineages stretching back millennia.

### Strategic Notes
- The spiral ramp can rotate, sealing sections and forcing attackers to fight uphill through kill zones.
- Resonant hymn chambers amplify battle chants that bolster defending warriors' resolve.

### Current Outlook
The High Shieldthane prepares for the 500th Jubilee of Remembrance, expecting delegations from every loyal clanhold.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Thrâng-khazad"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Reverent Deephold""},{""label"":""Founded"",""value"":""-2077 KI""},{""label"":""Specialty"",""value"":""Ancestor crypts & spiral fortifications""},{""label"":""Notable Clan"",""value"":""Clan Stoneward""}]}",
marker,-14.905717297470664,59.37245416365607,dwarf-outpost,Khirûn-karag,,,"![Khirûn-karag](images/Dwarfhold/Khir%C3%BBn-karag.jpg)
",,,,,,"{""iconScale"":0.01}",,,
marker,-41.0130657870063,-2.2412109375000004,dwarf-outpost,Gazad-az-Bôr,Bastion of the Border,Southern sentinel guarding the emerald marches,"![Gazad-az-Bôr](images/Dwarfhold/Gazad-az-B%C3%B4r.jpg)

## Overview
Gazad-az-Bôr overlooks rolling emerald plains from a rocky escarpment studded with signal towers. Caravan roads converge beneath its guns, ensuring every traveler is cataloged before crossing the marches.

## History
Established to shield trade routes from marauding beastmen, the hold grew into the keystone of southern defenses. Its rotating bastions turned the tide at the Battle of Thornfield when they shredded a Brayherd's ambush with crossfires.

### Culture and Craft
Shieldmarch drillmasters train warriors in combined arms tactics with humans and halfling scouts. Artisans craft modular fort sections that can be shipped to remote outposts and locked together like stone puzzle pieces.

### Strategic Notes
- Rotating bastions allow overlapping fields of fire across the entire march road.
- Beacon towers connect to Uzbad-az-Narg, relaying warnings faster than horse messengers.

### Current Outlook
Diplomatic envoys from the Moot negotiate expanded patrol rights, promising grain shipments in exchange for protection.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Gazad-az-Bôr"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Southern March Hold""},{""label"":""Founded"",""value"":""-1182 KI""},{""label"":""Specialty"",""value"":""Border forts & rotating bastions""},{""label"":""Notable Clan"",""value"":""Clan Shieldmarch""}]}",
marker,-37.30431673639372,83.4953640222675,dwarf-outpost,Bazâr-durin,Market of the First Forge,Grand bazaar celebrating invention and ancestral craftsmanship,"![Bazâr-durin](images/Dwarfhold/Baz%C3%A2r-durin.jpg)

## Overview
Bazâr-durin thrives around an immense plaza roofed by stained glass depicting the forging of the first rune hammer. Market stalls burst with color, music, and the aroma of spice breads from every corner of the empire.

## History
Founded by traders who followed the First Forge's pilgrim trail, the hold became the official venue for the Great Maker's Fair. Innovations unveiled here—like the collapsible cannon carriage—often reshape warfare and commerce alike.

### Culture and Craft
Guildhouses line the plaza, each offering apprenticeships in crafts from jewelry to mechanika. Festivals pair competitions with story circles where inventors recount the lineage of their tools.

### Strategic Notes
- Hidden portcullis tracks can isolate the bazaar into defensible wedges during unrest.
- Vaulted acoustics allow announcers to coordinate the entire market from a single dais.

### Current Outlook
Preparations for the next Maker's Fair have begun, and invitations have been sent to elf artisans willing to share glassmaking secrets in exchange for rune lore.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Bazâr-durin"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Celebrated Market Hold""},{""label"":""Founded"",""value"":""-950 KI""},{""label"":""Specialty"",""value"":""Seasonal grand markets & artisan guildhouses""},{""label"":""Notable Clan"",""value"":""Clan Goldtally""}]}",
marker,-25.337309791039797,-5.895341032251709,dwarf-outpost,Kharak-khazad,Sealed Redoubt,Partially collapsed hold watching over the southern deeps,"![Kharak-khazad](images/Dwarfhold/Kharak-khazad.jpg)

## Overview
Kharak-khazad clings to cliffs above yawning chasms, many halls now sealed behind rune-locked gates after catastrophic quakes. Lantern-lit salvage crews still delve the blocked passages searching for lost kin and treasures.

## History
Once a thriving ore hub, the hold suffered a series of cave-ins during the Deep Rumble. Clan Rockvault saved the core districts by triggering counter-quakes that collapsed the invading skaven tunnels.

### Culture and Craft
Survivors maintain meticulous records of which passages remain sealed and who was entombed within. Salvage engineers design reinforced braces and shock-absorbing boots used across the range.

### Strategic Notes
- Counter-quake charges can bring down entire bridges if enemies press too hard.
- Aerial tramways connect intact districts, bypassing unstable lower tunnels.

### Current Outlook
Rockvault prospectors petition to reopen a lower shaft after detecting vibration patterns suggesting empty, stable chambers beyond the collapse.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Kharak-khazad"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Partially Sealed Hold""},{""label"":""Founded"",""value"":""-1450 KI""},{""label"":""Specialty"",""value"":""Sealed gateworks & salvage crews""},{""label"":""Notable Clan"",""value"":""Clan Rockvault""}]}",
marker,-40.11168866559596,-5.9326171875,dwarf-outpost,Thûrdûn Thrum,Hall of Resonance,Melodic stronghold where runes are sung into stone,"![Thûrdûn Thrum](images/Dwarfhold/Th%C3%BBrd%C3%BBn%20Thrum.jpg)

## Overview
Thûrdûn Thrum is carved like a great instrument, with every corridor tuned to amplify the voices of its inhabitants. Choral rehearsals double as structural inspections, for any discordant echo may signal stress in the stone.

## History
The hold emerged after rune-singer Thûrdûn discovered harmonic inscriptions that could bind magic more efficiently. Its choirs shattered a Chaos sorcerer's wards during the Siege of Nine Echoes, proving the power of sung runes.

### Culture and Craft
Songthane artisans engrave wave-patterns into pillars, then test them with crystal tuning forks. Young dwarfs learn to harmonize before wielding axes, ensuring battlefield commands carry even in the thickest melee.

### Strategic Notes
- Resonant halls can project stunning sonic bursts toward invaders.
- Harmonic wards woven into the gates disrupt enemy spellcasting by desynchronizing incantations.

### Current Outlook
The Grand Chorus prepares a new Hymn of Binding to stabilize distant outposts suffering from warpstone tremors.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Thûrdûn Thrum"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Harmonic Runebastion""},{""label"":""Founded"",""value"":""-1010 KI""},{""label"":""Specialty"",""value"":""Resonant rune-singing & acoustic wards""},{""label"":""Notable Clan"",""value"":""Clan Songthane""}]}",
marker,32.7,18.4,dwarf-outpost,Gazûl-dûm,Sanctum of Gazûl,Catacomb hold honoring the Lord of the Underearth,"![Gazûl-dûm](images/Dwarfhold/Gaz%C3%BBl-d%C3%BBm.jpg)

## Overview
Gazûl-dûm stretches through solemn catacombs carved with reliefs of every ancestor interred within. Luminous fungi paint the passageways in violet light as silent processions bear offerings to the Lord of the Underearth.

## History
Priests of Gazûl established the hold to safeguard the honored dead after necromancers desecrated burial fields elsewhere. The Gravesong clan has since thwarted undead incursions by sanctifying bones and sealing portals to the shadow realm.

### Culture and Craft
Mortuary artisans weave silver-wire ossuaries and inscribe lament runes that soothe restless spirits. Festivals of Quiet Remembrance invite living kin to dine among ancestor statues, reaffirming bonds across generations.

### Strategic Notes
- Sanctified catacombs emit wards that unravel necromantic energies.
- Hidden reliquary caches house consecrated hammerheads used to banish spirits on short notice.

### Current Outlook
A surge in ghostly whispers hints at a new breach between worlds; the priests consult with Thûrdrim Duraz for lore on sealing shadow rifts.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Gazûl-dûm"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Sacred Necropolis""},{""label"":""Founded"",""value"":""-2120 KI""},{""label"":""Specialty"",""value"":""Ancestral catacombs & mortuary rites""},{""label"":""Notable Clan"",""value"":""Clan Gravesong""}]}",
marker,64,-24,dwarf-outpost,ABANDON DWARFHOLD,,,,,,,,,"{""iconScale"":0.01}",,,
marker,64,-20,barony-of-dorsen,BARONY OF DORSEN,,,,,,,,,"{""iconScale"":0.1}",,,
marker,46.79076278876718,-44.95277310552409,barony-of-livonia,BARONY OF LIVONIA,,,,,,,,,"{""iconScale"":0.11}",,,
marker,42.22780218307558,-37.617560972910766,barony-of-saxonmoore,BARONY OF SAXONMOORE,,,,,,,,,"{""iconScale"":0.11}",,,
marker,4.2592107913514905,-39.468462945489485,county-of-ardenne,COUNTY OF ARDENNE,,,,,,,,,"{""iconScale"":0.11}",,,
marker,64,-4,county-of-cardiona,COUNTY OF CARDIONA,,,,,,,,,"{""iconScale"":0.1}",,,
marker,-11.369734892180023,54.66572791253543,county-of-sanguinholt,COUNTY OF SANGUINHOLT,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-19.19049057392147,19.99689491855525,daelmont,DAELMONT,,,,,,,,,"{""iconScale"":0.09}",,,
marker,64,8,dutchy-of-wendvale,DUTCHY OF WENDVALE,,,,,,,,,"{""iconScale"":0.2}",,,
marker,22.83689209957139,-10.107421875000002,empire-of-grand-bohemia,EMPIRE OF GRAND BOHEMIA,,,,,,,,,"{""iconScale"":0.2}",,,
marker,-65.03355211809361,-0.3955825070821195,free-pirate-confederacy-of-sartogio,FREE PIRATE CONFEDERACY OF SARTOGIO,,,,,,,,,"{""iconScale"":0.03}",,,
marker,64,20,goblin,GOBLIN,,,,,,,,,"{""iconScale"":0.01}",,,
marker,-13.251603188505007,-36.65415523194043,grand-barony-of-branth,GRAND BARONY OF BRANTH,,,,,,,,,"{""iconScale"":0.16}",,,
marker,62.75503543622,-64.55583834985835,grand-duchy-of-thaldara,GRAND DUCHY OF THALDARA,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-14.788255487061242,-80.59450801168562,grand-kingdom-of-bellmore,GRAND KINGDOM OF BELLMORE,,,,,,,,,"{""iconScale"":0.14}",,,
marker,56.84752478675568,-17.797194250177032,huntsmarshalship-of-wexsod,HUNTSMARSHALSHIP OF WEXSOD,,,,,,,,,"{""iconScale"":0.07}",,,
marker,-60.45721779774396,-51.767578125,kingdom-of-gawthaud,KINGDOM OF GAWTHAUD,,,,,,,,,"{""iconScale"":0.18}",,,
marker,-30.56196155422879,-90.2646976805949,kingdom-of-alveron,KINGDOM OF ALVERON,,,,,,,,,"{""iconScale"":0.14}",,,
marker,-50.70748452933861,-78.13628939447594,kingdom-of-belmor,KINGDOM OF BELMOR,,,,,,,,,"{""iconScale"":0.19}",,,
marker,-45.51754057873579,-52.20213401556572,kingdom-of-bretton,KINGDOM OF BRETTON,,,Crown Wars,,,,,,"{""iconScale"":0.21}",,,
marker,-49.53946900793533,32.05813663563831,kingdom-of-caledon,KINGDOM OF CALEDON,,,,,,,,,"{""iconScale"":0.07}",,,
marker,60,12,kingdom-of-lancchaster,KINGDOM OF LANCCHASTER,,,,,,,,,"{""iconScale"":0.19}",,,
marker,60,16,kingdom-of-norhaven,KINGDOM OF NORHAVEN,,,,,,,,,"{""iconScale"":0.15}",,,
marker,63.666128285006366,-53.1719973831554,kingdom-of-valmont,KINGDOM OF VALMONT,,,,,,,,,"{""iconScale"":0.16}",,,
marker,58.312431526543406,-64.24461092422099,lordship-of-aquitania,LORDSHIP OF AQUITANIA,,,,,,,,,"{""iconScale"":0.03}",,,
marker,29.060247472383494,-57.652176655453225,lordship-of-breanore,LORDSHIP OF BREANORE,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-9.663910319532734,-58.051737893944804,lordship-of-calearagio,LORDSHIP OF CALEARAGIO,,,,,,,,,"{""iconScale"":0.05}",,,
marker,-42.295464551772824,-38.27249800814445,lordship-of-esser,LORDSHIP OF ESSER,,,,,,,,,"{""iconScale"":0.05}",,,
marker,60.32730156078029,-33.97064779567991,mageacracy-of-ostfold,MAGEACRACY OF OSTFOLD,,,,,,,,,"{""iconScale"":0.04}",,,
marker,56,-4,marquess-of-lanaria,MARQUESS OF LANARIA,,,,,,,,,"{""iconScale"":0.07}",,,
marker,68.58943072967844,-7.297141649486564,obermarch-of-ryazan,OBERMARCH OF RYAZAN,,,,,,,,,"{""iconScale"":0.08}",,,
marker,54.0331443689097,14.282226562500002,orc,ORC,,,,,,,,,"{""iconScale"":0.41}",,,
marker,49.89463439573421,23.09428470180395,principality-of-beligrad,PRINCIPALITY OF BELIGRAD,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-29.96039042587553,-67.36922472556658,principality-of-burgund,PRINCIPALITY OF BURGUND,,,,,,,,,"{""iconScale"":0.14}",,,
marker,-30.656001334297773,15.534199882701841,principality-of-caridon,PRINCIPALITY OF CARIDON,,,,,,,,,"{""iconScale"":0.03}",,,
marker,51.12461227941592,-51.67916116171969,principality-of-carinth,PRINCIPALITY OF CARINTH,,,,,,,,,"{""iconScale"":0.05}",,,
marker,51.64495246041364,-27.554216754033803,principality-of-delmaris,PRINCIPALITY OF DELMARIS,,,,,,,,,"{""iconScale"":0.09}",,,
marker,-65.98513172398799,-80.68043665899442,principality-of-galacia,PRINCIPALITY OF GALACIA,,,,,,,,,"{""iconScale"":0.05}",,,
marker,44.68083004229275,-30.891866589943387,principality-of-lythwan,PRINCIPALITY OF LYTHWAN,,,,,,,,,"{""iconScale"":0.14}",,,
marker,52,-12,principality-of-orange,PRINCIPALITY OF ORANGE,,,,,,,,,"{""iconScale"":0.13}",,,
marker,16.644557340939674,41.212944847733745,principality-of-redwall,PRINCIPALITY OF REDWALL,,,,,,,,,"{""iconScale"":0.2}",,,
marker,-53.24042927291929,-99.487387128187,principality-of-tolodo,PRINCIPALITY OF TOLODO,,,,,,,,,"{""iconScale"":0.03}",,,
marker,-37.754000738893176,53.25568342776204,syldenia,SYLDENIA,,,,,,,,,"{""iconScale"":0.2}",,,
marker,50.1485373845043,-2.1080096484697646,the-ecclesiasticy,THE ECCLESIASTICY,,,,,,,,,"{""iconScale"":0.2}",,,
marker,48.402623040296895,15.203783418909346,the-sentinals,THE SENTINALS,,,![THE SENTINALS](images/The%20Sentinals.jpg),,,,,,"{""iconScale"":0.22}",,,
marker,-40.81917173353749,18.01716234030457,the-shire-of-anvilmar,THE SHIRE OF ANVILMAR,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-21.232056204199043,-16.605342599150003,the-state-of-rhymeria,THE STATE OF RHYMERIA,,,,,,,,,"{""iconScale"":0.04}",,,
